COPY 2610
ma,table_name,column_name,ordinal_position,data_type,is_nullable,column_default
public,RevisitedXY,ANIMBONE,25,real,YES,
public,RevisitedXY,HUMANBONE,26,real,YES,
public,RevisitedXY,MISCBONE,27,real,YES,
public,RevisitedXY,DECEARTH,28,real,YES,
public,RevisitedXY,PLAINEARTH,29,real,YES,
public,RevisitedXY,SITEDESC,30,text,YES,
public,RevisitedXY,SURFHABIT,31,real,YES,
public,RevisitedXY,CURRHABIT,32,real,YES,
public,RevisitedXY,ABANDHABIT,33,real,YES,
public,RevisitedXY,BATGUANO,34,real,YES,
public,RevisitedXY,NONBUDDH,35,real,YES,
public,RevisitedXY,ANIMACT,36,real,YES,
public,RevisitedXY,LOGCOFFIN,37,real,YES,
public,RevisitedXY,LOOTING,38,real,YES,
public,RevisitedXY,BUDDSTRUCT,39,real,YES,
public,RevisitedXY,UXO,40,real,YES,
public,RevisitedXY,MORTINTER,41,real,YES,
public,RevisitedXY,MORTCREM,42,real,YES,
public,RevisitedXY,CERAMPROD,43,real,YES,
public,RevisitedXY,PREHISTHAB,44,real,YES,
public,RevisitedXY,RELIGIOUS,45,real,YES,
public,RevisitedXY,QUARRY,46,real,YES,
public,RevisitedXY,METALPROD,47,real,YES,
public,RevisitedXY,STTOOLWORK,48,real,YES,
public,RevisitedXY,GENVIEW,49,real,YES,
public,RevisitedXY,DEPCONTEXT,50,text,YES,
public,RevisitedXY,MAINFEAT,51,real,YES,
public,RevisitedXY,ARTRANGE,52,real,YES,
public,RevisitedXY,ARTDENSE,53,real,YES,
public,RevisitedXY,DIMENA,54,real,YES,
public,RevisitedXY,DIMENB,55,real,YES,
public,RevisitedXY,ESTDEPTH,56,text,YES,
public,RevisitedXY,SITE_NUM,57,text,YES,
public,RevisitedXY,RIVER_TEAM,58,text,YES,
public,RevisitedXY,SITE_DATE,59,text,YES,
public,RevisitedXY,EROSION,60,real,YES,
public,RevisitedXY,HIST_VILL,61,real,YES,
public,RevisitedXY,PANORAMA,62,real,YES,
public,RevisitedXY,GARDEN,63,real,YES,
public,RevisitedXY,EXC_PRI,64,text,YES,
public,RevisitedXY,TIME_SPENT,65,real,YES,
public,RevisitedXY,DUBIOUS,66,real,YES,
public,RevisitedXY,ENTERED_BY,67,text,YES,
public,RevisitedXY,CAVE_FL,68,text,YES,
public,RevisitedXY,CAVEMOIST,69,text,YES,
public,RevisitedXY,CVMTHHT,70,real,YES,
public,RevisitedXY,IMAGENOS,71,text,YES,
public,RevisitedXY,OTH_ART,72,text,YES,
public,RevisitedXY,REVISITS,73,real,YES,
public,RevisitedXY,VISIT_COMM,74,text,YES,
public,RevisitedXY,JAR_SITE,75,real,YES,
public,RevisitedXY,OTHER_MEG,76,real,YES,
public,RevisitedXY,MINE_SITE,77,real,YES,
public,RevisitedXY,RIVCOBSITE,78,real,YES,
public,RevisitedXY,SURF_SCAT,79,real,YES,
public,RevisitedXY,SITE_COMM,80,text,YES,
public,RevisitedXY,SPELEO,81,real,YES,
public,RevisitedXY,MEAN_GALL,82,real,YES,
public,RevisitedXY,PLATFORM,83,real,YES,
public,RevisitedXY,MOUND,84,real,YES,
public,RevisitedXY,FEATURES,85,real,YES,
public,RevisitedXY,STRAT,86,real,YES,
public,RevisitedXY,UXOCL,87,real,YES,
public,RevisitedXY,DISTCOMM,88,text,YES,
public,RevisitedXY,CONDCOMM,89,text,YES,
public,RevisitedXY,HISTOCC,90,real,YES,
public,RevisitedXY,PASTFCOMM,91,text,YES,
public,RevisitedXY,ORDNANCE,92,real,YES,
public,RevisitedXY,CAVEPHOTO,93,real,YES,
public,RevisitedXY,SPELPHOTO,94,real,YES,
public,RevisitedXY,IMAGECOMM,95,text,YES,
public,RevisitedXY,DRYSWIDDEN,96,real,YES,
public,RevisitedXY,WETRICE,97,real,YES,
public,RevisitedXY,ORCHARDS,98,real,YES,
public,RevisitedXY,OTHERHORT,99,real,YES,
public,RevisitedXY,FLOODREC,100,real,YES,
public,RevisitedXY,CROPS,101,text,YES,
public,RevisitedXY,NATVEG,102,text,YES,
public,RevisitedXY,WLDEDPL,103,text,YES,
public,RevisitedXY,INDPLANT,104,text,YES,
public,RevisitedXY,FAUNA,105,text,YES,
public,RevisitedXY,COMMFOR,106,real,YES,
public,RevisitedXY,NATFOR,107,real,YES,
public,RevisitedXY,GRASSLND,108,real,YES,
public,RevisitedXY,ARTDENS,109,real,YES,
public,RevisitedXY,NRPRIMRV,110,text,YES,
public,RevisitedXY,ENVCOMM,111,text,YES,
public,RevisitedXY,ARTCOMM,112,text,YES,
public,RevisitedXY,POINT_X,113,real,YES,
public,RevisitedXY,POINT_Y,114,real,YES,
public,RevisitedXY,CVMTHDIR,115,text,YES,
public,RevisitedXY,UTM_X,116,real,YES,
public,RevisitedXY,UTM_Y,117,real,YES,
public,RevisitedXY,GIS_CODE,118,real,YES,
public,tblAllBangles,Record_No,1,integer,NO,
public,tblAllBangles,MMAP_Artifact_ID,2,text,YES,
public,tblAllBangles,Material,3,text,YES,
public,tblAllBangles,InCatalog,4,boolean,YES,
public,tblAllBangles,Sampled,5,text,YES,
public,tblAllBangles,Conserved,6,boolean,YES,
public,tblAllBangles,Elemental,7,boolean,YES,
public,tblAllBangles,Hardness,8,boolean,YES,
public,tblAllBangles,Corrosion,9,text,YES,
public,tblAllBangles,Type,10,text,YES,
public,tblAllBangles,SubType,11,text,YES,
public,tblAllBangles,ChordLen,12,real,YES,
public,tblAllBangles,InDiam,13,real,YES,
public,tblAllBangles,ShaftHt,14,real,YES,
public,tblAllBangles,ShaftWth,15,real,YES,
public,tblAllBangles,SurfTreat,16,text,YES,
public,tblAllBangles,Wear,17,text,YES,
public,tblAllBangles,Xshape,18,text,YES,
public,tblAllBangles,FormEvid,19,text,YES,
public,tblAllBangles,SCond,20,text,YES,
public,tblAllBangles,Comments,21,text,YES,
public,tblAll_BC_BagsPeriod,Record_No,1,integer,NO,
public,tblAll_BC_BagsPeriod,Site,2,text,YES,
public,tblAll_BC_BagsPeriod,Bag_No,3,text,YES,
public,tblAll_BC_BagsPeriod,Level,4,text,YES,
public,tblAll_BC_BagsPeriod,Subu,5,text,YES,
public,tblAll_BC_BagsPeriod,Period,6,text,YES,
public,tblAll_BC_BagsPeriod,Field1,7,text,YES,
public,tblArtifact_Master,Record_No,1,integer,NO,
public,tblArtifact_Master,MMAP_Artifact_ID,2,text,NO,
public,tblArtifact_Master,Site_Name,3,text,YES,
public,tblArtifact_Master,Date_Discovered,4,timestamp without time zone,YES,
public,tblArtifact_Master,Bag_ID,5,text,YES,
public,tblArtifact_Master,Artifact_Condition,6,text,YES,
public,tblArtifact_Master,Artifact_Class,7,text,YES,
public,tblArtifact_Master,Maximum_Dimension,8,real,YES,
public,tblArtifact_Master,Weight,9,real,YES,
public,tblArtifact_Master,Count,10,text,YES,
public,tblArtifact_Master,Burial_No,11,text,YES,
public,tblArtifact_Master,Period,12,text,YES,
public,tblArtifact_Master,Material,13,text,YES,
public,tblArtifact_Master,Comments,14,text,YES,
public,tblArtifact_Master,Bur_Phase,15,text,YES,
public,tblArtifact_Master,Level,16,text,YES,
public,tblArtifact_Master,DepContext,17,text,YES,
public,tblArtifact_Master,Square,18,text,YES,
public,tblArtifact_Master,Quad,19,text,YES,
public,tblArtifact_Master,Layer,20,text,YES,
public,tblArtifact_Master,FeaNo,21,text,YES,
public,tblArtifact_Master,FeaType,22,text,YES,
public,tblArtifact_Master,BurAssoc,23,text,YES,
public,tblArtifact_Master,BLocation,24,text,YES,
public,tblArtifact_Master,BodyPart,25,text,YES,
public,tblArtifact_Master,Sherd_Sample?,26,boolean,YES,
public,tblArtifact_Master,Sherd_Samp_Location,27,text,YES,
public,tblArtifact_Master,Thin_Section,28,boolean,YES,
public,tblArtifact_Master,TS_Location,29,text,YES,
public,tblArtifact_Master,TS_No,30,text,YES,
public,tblArtifact_Master,Met_Sample,31,boolean,YES,
public,tblArtifact_Master,Met_Samp_Loc,32,text,YES,
public,tblArtifact_Master,Sample_Comment,33,text,YES,
public,tblArtifact_Master,ArtLoc,34,text,YES,
public,tblArtifact_Master,Conserved,35,boolean,YES,
public,tblArtifact_Master,Glass_Sample,36,boolean,YES,
public,tblArtifact_Master,Gl_Samp,37,text,YES,
public,tblArtifact_Master,Gl_Tech,38,text,YES,
public,tblArtifact_Master,Gl_Analy_Date,39,timestamp without time zone,YES,
public,tblArtifact_Master,Entered_By,40,text,YES,
public,tblArtifact_Master,Initial_Date,41,timestamp without time zone,YES,
public,tblArtifact_Master,Date_Last_Modified,42,timestamp without time zone,YES,
public,tblArtifact_Master,txtImageName1,43,text,YES,
public,tblArtifact_Master,txtImageName2,44,text,YES,
public,tblArtifact_Master,txtImageName3,45,text,YES,
public,tblArtifact_Master,txtImageName4,46,text,YES,
public,tblArtifact_Master,txtImageName5,47,text,YES,
public,tblArtifact_Master,txtDrawingName,48,text,YES,
public,tblArtifact_Master,Flag_for_Check,49,text,YES,
public,tblBeads,Record_No,1,integer,NO,
public,tblBeads,MMAP_Artifact_ID,2,text,YES,
public,tblBeads,Anlyst,3,text,YES,
public,tblBeads,Scond,4,text,YES,
public,tblBeads,Length,5,real,YES,
public,tblBeads,MaxDiam,6,real,YES,
public,tblBeads,MinDiam,7,real,YES,
public,tblBeads,PerfDiam,8,real,YES,
public,tblBeads,Color,9,text,YES,
public,tblBeads,PerfType,10,text,YES,
public,tblBeads,Mfg,11,text,YES,
public,tblBeads,Decor,12,text,YES,
public,tblBeads,Shape,13,text,YES,
public,tblBeads,Comp_Type,14,text,YES,
public,tblBeads,Lankton_Color,15,text,YES,
public,tblBeads,Comment,16,text,YES,
public,tblBells,Record_No,1,integer,NO,
public,tblBells,MMAP_Artifact_ID,2,text,YES,
public,tblBells,OutDiam,3,real,YES,
public,tblBells,OrigLen,4,real,YES,
public,tblBells,OrigWid,5,real,YES,
public,tblBells,OpenWid,6,real,YES,
public,tblBells,OpenDeg,7,real,YES,
public,tblBells,Ball,8,text,YES,
public,tblBells,Loop,9,text,YES,
public,tblBells,Comments,10,text,YES,
public,tblBells,Sampled,11,text,YES,
public,tblBells,Hardness,12,boolean,YES,
public,tblBells,Elemental,13,boolean,YES,
public,tblBells,In_Catalog,14,boolean,YES,
public,tblBells,Corrosion,15,text,YES,
public,tblBells,Date_Last_Modified,16,timestamp without time zone,YES,
public,tblBuddhas,Record_No,1,integer,NO,
public,tblBuddhas,MMAP_Artifact_ID,2,text,YES,
public,tblBuddhas,Height,3,real,YES,
public,tblBuddhas,Width,4,real,YES,
public,tblBuddhas,Depth,5,real,YES,
public,tblBuddhas,Primary_Material,6,text,YES,
